"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"trafico.nlogo"
"experimento-flujo"
"10/26/2024 20:06:04:819 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","mean(lista_flujo)"
"149","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"139","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8316831683168315"
"150","aleatoria","3","0.0045","alaetoria","0.026","0","0"
"138","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"151","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"143","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"152","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"148","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"153","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"147","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"154","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"144","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"155","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"145","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"156","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"150","aleatoria","3","0.0045","alaetoria","0.026","5000","2.871287128712871"
"157","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"149","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8415841584158414"
"158","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"146","aleatoria","3","0.0045","alaetoria","0.026","5000","2.8514851485148514"
"159","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"151","aleatoria","4","0.0045","alaetoria","0.026","5000","3.792079207920792"
"160","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"152","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"161","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"154","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"162","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"153","aleatoria","4","0.0045","alaetoria","0.026","5000","3.792079207920792"
"163","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"157","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8415841584158414"
"164","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"156","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"165","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"155","aleatoria","4","0.0045","alaetoria","0.026","5000","3.782178217821782"
"166","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"162","aleatoria","4","0.0045","alaetoria","0.026","5000","3.782178217821782"
"167","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"159","aleatoria","4","0.0045","alaetoria","0.026","5000","3.782178217821782"
"168","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"163","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8118811881188117"
"169","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"161","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8118811881188117"
"158","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"170","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"171","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"160","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"172","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"164","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8217821782178216"
"173","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"168","aleatoria","4","0.0045","alaetoria","0.026","5000","3.782178217821782"
"174","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"165","aleatoria","4","0.0045","alaetoria","0.026","5000","3.782178217821782"
"175","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"166","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8118811881188117"
"176","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"169","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8217821782178216"
"177","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"167","aleatoria","4","0.0045","alaetoria","0.026","5000","3.792079207920792"
"178","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"172","aleatoria","4","0.0045","alaetoria","0.026","5000","3.792079207920792"
"179","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"170","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"180","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"171","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8316831683168315"
"181","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"173","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8118811881188117"
"175","aleatoria","4","0.0045","alaetoria","0.026","5000","3.792079207920792"
"183","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"182","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"174","aleatoria","4","0.0045","alaetoria","0.026","5000","3.782178217821782"
"184","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"177","aleatoria","4","0.0045","alaetoria","0.026","5000","3.782178217821782"
"185","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"178","aleatoria","4","0.0045","alaetoria","0.026","5000","3.792079207920792"
"186","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"182","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8118811881188117"
"187","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"176","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8217821782178216"
"188","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"179","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8118811881188117"
"189","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"181","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"190","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"183","aleatoria","4","0.0045","alaetoria","0.026","5000","3.772277227722772"
"191","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"180","aleatoria","4","0.0045","alaetoria","0.026","5000","3.772277227722772"
"192","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"186","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"193","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"187","aleatoria","4","0.0045","alaetoria","0.026","5000","3.8316831683168315"
"194","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"188","aleatoria","4","0.0045","alaetoria","0.026","5000","3.782178217821782"
"195","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"189","aleatoria","4","0.0045","alaetoria","0.026","5000","3.772277227722772"
"196","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"184","aleatoria","4","0.0045","alaetoria","0.026","5000","3.792079207920792"
"197","aleatoria","4","0.0045","alaetoria","0.026","0","0"
"185","aleatoria","4","0.0045","alaetoria","0.026","5000","3.801980198019802"
"198","aleatoria","4","0.0045","alaetoria","0.026","0","0"
